Questions,True Answer,No RAG Answer,RAG Answer,No RAG Similarity,No RAG Error,RAG Similarity,RAG Error
How does the regulation address the integration of ethical principles into the design of trustworthy AI systems?,"It emphasizes principles such as human oversight, transparency, non-discrimination, and social and environmental well-being.",,,,,,
What are the seven ethical principles outlined in the 2019 Ethics guidelines for trustworthy AI?,"The seven principles are:
    1. Human agency and oversight
    2. Technical robustness and safety
    3. Privacy and data governance
    4. Transparency
    5. Diversity, non-discrimination, and fairness
    6. Societal and environmental well-being
    7. Accountability.",,,,,,
How does the EU AI Act address the use of AI systems in biometric categorization?,"Biometric categorization systems that deduce personal attributes (e.g., race, political opinions, sexual orientation) are prohibited unless they are lawfully acquired biometric datasets used for purposes like law enforcement.",,,,,,
What obligations does the regulation impose on providers of high-risk AI systems to ensure robustness and cybersecurity?,"Providers must implement measures to ensure system resilience against unauthorized alterations or attacks, prevent adversarial manipulation, and secure training data against poisoning attacks. They must address cybersecurity risks with controls tailored to specific vulnerabilities.",,,,,,
How does the regulation aim to protect individuals from discriminatory impacts caused by AI systems?,"The regulation mandates high-quality, unbiased datasets for training, validation, and testing. Providers must assess and mitigate biases to prevent negative impacts on fundamental rights.",,,,,,
What requirements does the EU AI Act mandate for data governance in high-risk AI systems?,"Data governance must include practices for ensuring data accuracy, quality, and completeness, detecting and mitigating biases, and using privacy-preserving techniques for personal data.",,,,,,
"How are AI systems used in migration, asylum, and border control management regulated under the EU AI Act?","AI systems used in migration, asylum, and border control management are classified as high-risk due to their potential to impact fundamental rights and must meet all data and operational compliance standards outlined in the regulation.",,,,,,
What are the transparency requirements for AI systems outlined in the regulation?,"Transparency obligations include informing users they are interacting with an AI system, documenting system functionality and limitations, and ensuring explainability of decisions.",,,,,,
How does the regulation manage risks associated with general-purpose AI systems with systemic risks?,Providers must collaborate with downstream users to ensure compliance. The European Commission may enforce restrictions or recalls for non-compliance.,,,,,,
What are the prohibited AI practices as specified in the EU AI Act?,"Prohibited practices include exploiting vulnerabilities (e.g., age or disabilities), social scoring leading to unjustified discrimination, and unauthorized use of real-time biometric identification.",,,,,,
What is the role of the European Commission in ensuring the practical implementation of the EU AI Act?,"The Commission oversees compliance, conducts investigations, and enforces measures for general-purpose AI systems. It may also develop voluntary codes of conduct.",,,,,,
